Perceptores de ingresos que conviven con la persona de referencia;Según perciba o no ingresos la persona de referencia;Periodo;Total
Total;Total;2025T4;1.052,4
Total;Total;2025T3;1.053,7
Total;Total;2025T2;1.073,7
Total;Total;2025T1;1.189,1
Total;Total;2024T4;1.103,4
Total;Total;2024T3;1.130,9
Total;Total;2024T2;1.138,1
Total;Total;2024T1;1.272,7
Total;Total;2023T4;1.240,9
Total;Total;2023T3;1.218,3
Total;Total;2023T2;1.195,8
Total;Total;2023T1;1.399,3
Total;Total;2022T4;1.351,6
Total;Total;2022T3;1.273,8
Total;Total;2022T2;1.316,2
Total;Total;2022T1;1.372,6
Total;Total;2021T4;1.319,5
Total;Total;2021T3;1.415,8
Total;Total;2021T2;1.417,5
Total;Total;2021T1;1.440,8
Total;Total;2020T4;1.477,9
Total;Total;2020T3;1.381,1
Total;Total;2020T2;1.316,8
Total;Total;2020T1;1.291,1
Total;Total;2019T4;1.259,1
Total;Total;2019T3;1.222
Total;Total;2019T2;1.268,5
Total;Total;2019T1;1.336,1
Total;Total;2018T4;1.289,6
Total;Total;2018T3;1.285,8
Total;Total;2018T2;1.362,3
Total;Total;2018T1;1.511,6
Total;Total;2017T4;1.482,3
Total;Total;2017T3;1.442,1
Total;Total;2017T2;1.542,9
Total;Total;2017T1;1.714,6
Total;Total;2016T4;1.702
Total;Total;2016T3;1.704,1
Total;Total;2016T2;1.824,1
Total;Total;2016T1;1.935,9
Total;Total;2015T4;1.916,8
Total;Total;2015T3;1.905,3
Total;Total;2015T2;2.034
Total;Total;2015T1;2.161,7
Total;Total;2014T4;2.141,1
Total;Total;2014T3;2.144,7
Total;Total;2014T2;2.247
Total;Total;2014T1;2.389
Total;Total;2013T4;2.363,1
Total;Total;2013T3;2.324,6
Total;Total;2013T2;2.391,7
Total;Total;2013T1;2.475
Total;Total;2012T4;2.356,7
Total;Total;2012T3;2.244,7
Total;Total;2012T2;2.253,8
Total;Total;2012T1;2.234
Total;Total;2011T4;2.070,7
Total;Total;2011T3;1.924,2
Total;Total;2011T2;1.822,8
Total;Total;2011T1;1.872
Total;Total;2010T4;1.772
Total;Total;2010T3;1.712,4
Total;Total;2010T2;1.764
Total;Total;2010T1;1.739,5
Total;Total;2009T4;1.641,9
Total;Total;2009T3;1.505,4
Total;Total;2009T2;1.541,5
Total;Total;2009T1;1.500
Total;Total;2008T4;1.144,2
Total;Total;2008T3;886,3
Total;Total;2008T2;799,8
Total;Total;2008T1;754,2
Total;Total;2007T4;645,2
Total;Total;2007T3;594,3
Total;Total;2007T2;576,5
Total;Total;2007T1;612,4
Total;Total;2006T4;577,8
Total;Total;2006T3;551,8
Total;Total;2006T2;574,4
Total;Total;2006T1;575,3
Total;Total;2005T4;557,3
Total;Total;2005T3;502
Total;Total;2005T2;538,2
Total;Total;2005T1;580
Total;Total;2004T4;575,7
Total;Total;2004T3;592,2
Total;Total;2004T2;602,4
Total;Total;2004T1;613,2
Total;Total;2003T4;585,5
Total;Total;2003T3;564,3
Total;Total;2003T2;566,8
Total;Total;2003T1;600,1
Total;Total;2002T4;574,1
Total;Total;2002T3;545,4
Total;Total;2002T2;509,6
Total;Total;2002T1;526
Total;Perceptora de ingresos;2025T4;542
Total;Perceptora de ingresos;2025T3;544,4
Total;Perceptora de ingresos;2025T2;548,2
Total;Perceptora de ingresos;2025T1;603,3
Total;Perceptora de ingresos;2024T4;547
Total;Perceptora de ingresos;2024T3;547,2
Total;Perceptora de ingresos;2024T2;566,7
Total;Perceptora de ingresos;2024T1;668,6
Total;Perceptora de ingresos;2023T4;598,9
Total;Perceptora de ingresos;2023T3;597,8
Total;Perceptora de ingresos;2023T2;581,5
Total;Perceptora de ingresos;2023T1;691,9
Total;Perceptora de ingresos;2022T4;638,1
Total;Perceptora de ingresos;2022T3;595,9
Total;Perceptora de ingresos;2022T2;602
Total;Perceptora de ingresos;2022T1;670,1
Total;Perceptora de ingresos;2021T4;612,8
Total;Perceptora de ingresos;2021T3;663,7
Total;Perceptora de ingresos;2021T2;667
Total;Perceptora de ingresos;2021T1;683,4
Total;Perceptora de ingresos;2020T4;682,1
Total;Perceptora de ingresos;2020T3;672,5
Total;Perceptora de ingresos;2020T2;676,9
Total;Perceptora de ingresos;2020T1;629,6
Total;Perceptora de ingresos;2019T4;606
Total;Perceptora de ingresos;2019T3;560,2
Total;Perceptora de ingresos;2019T2;604,4
Total;Perceptora de ingresos;2019T1;605,3
Total;Perceptora de ingresos;2018T4;564,7
Total;Perceptora de ingresos;2018T3;539,3
Total;Perceptora de ingresos;2018T2;590,1
Total;Perceptora de ingresos;2018T1;683,1
Total;Perceptora de ingresos;2017T4;674,6
Total;Perceptora de ingresos;2017T3;635
Total;Perceptora de ingresos;2017T2;675,8
Total;Perceptora de ingresos;2017T1;772,3
Total;Perceptora de ingresos;2016T4;754,2
Total;Perceptora de ingresos;2016T3;741,2
Total;Perceptora de ingresos;2016T2;793
Total;Perceptora de ingresos;2016T1;838,6
Total;Perceptora de ingresos;2015T4;839,5
Total;Perceptora de ingresos;2015T3;866
Total;Perceptora de ingresos;2015T2;907,8
Total;Perceptora de ingresos;2015T1;1.010,1
Total;Perceptora de ingresos;2014T4;1.014,2
Total;Perceptora de ingresos;2014T3;1.015,6
Total;Perceptora de ingresos;2014T2;1.082,3
Total;Perceptora de ingresos;2014T1;1.160,4
Total;Perceptora de ingresos;2013T4;1.170
Total;Perceptora de ingresos;2013T3;1.180,5
Total;Perceptora de ingresos;2013T2;1.226,1
Total;Perceptora de ingresos;2013T1;1.273,2
Total;Perceptora de ingresos;2012T4;1.217,9
Total;Perceptora de ingresos;2012T3;1.159,8
Total;Perceptora de ingresos;2012T2;1.199,2
Total;Perceptora de ingresos;2012T1;1.203,2
Total;Perceptora de ingresos;2011T4;1.107
Total;Perceptora de ingresos;2011T3;1.006,6
Total;Perceptora de ingresos;2011T2;971,3
Total;Perceptora de ingresos;2011T1;1.021,9
Total;Perceptora de ingresos;2010T4;994,9
Total;Perceptora de ingresos;2010T3;992,9
Total;Perceptora de ingresos;2010T2;1.052,9
Total;Perceptora de ingresos;2010T1;1.033,9
Total;Perceptora de ingresos;2009T4;912,4
Total;Perceptora de ingresos;2009T3;792,8
Total;Perceptora de ingresos;2009T2;823,4
Total;Perceptora de ingresos;2009T1;779,3
Total;Perceptora de ingresos;2008T4;546,6
Total;Perceptora de ingresos;2008T3;398,2
Total;Perceptora de ingresos;2008T2;341
Total;Perceptora de ingresos;2008T1;323,8
Total;Perceptora de ingresos;2007T4;258,4
Total;Perceptora de ingresos;2007T3;253,6
Total;Perceptora de ingresos;2007T2;251,9
Total;Perceptora de ingresos;2007T1;273,4
Total;Perceptora de ingresos;2006T4;243,6
Total;Perceptora de ingresos;2006T3;236,7
Total;Perceptora de ingresos;2006T2;218,8
Total;Perceptora de ingresos;2006T1;240,6
Total;Perceptora de ingresos;2005T4;244,6
Total;Perceptora de ingresos;2005T3;226,3
Total;Perceptora de ingresos;2005T2;263,9
Total;Perceptora de ingresos;2005T1;255,9
Total;Perceptora de ingresos;2004T4;247,9
Total;Perceptora de ingresos;2004T3;241,3
Total;Perceptora de ingresos;2004T2;243,8
Total;Perceptora de ingresos;2004T1;249,8
Total;Perceptora de ingresos;2003T4;239,2
Total;Perceptora de ingresos;2003T3;233
Total;Perceptora de ingresos;2003T2;239,8
Total;Perceptora de ingresos;2003T1;250,4
Total;Perceptora de ingresos;2002T4;247
Total;Perceptora de ingresos;2002T3;236,7
Total;Perceptora de ingresos;2002T2;214,7
Total;Perceptora de ingresos;2002T1;222,1
Total;No perceptora de ingresos;2025T4;510,4
Total;No perceptora de ingresos;2025T3;509,3
Total;No perceptora de ingresos;2025T2;525,5
Total;No perceptora de ingresos;2025T1;585,8
Total;No perceptora de ingresos;2024T4;556,4
Total;No perceptora de ingresos;2024T3;583,8
Total;No perceptora de ingresos;2024T2;571,4
Total;No perceptora de ingresos;2024T1;604,2
Total;No perceptora de ingresos;2023T4;642
Total;No perceptora de ingresos;2023T3;620,5
Total;No perceptora de ingresos;2023T2;614,3
Total;No perceptora de ingresos;2023T1;707,5
Total;No perceptora de ingresos;2022T4;713,5
Total;No perceptora de ingresos;2022T3;677,9
Total;No perceptora de ingresos;2022T2;714,2
Total;No perceptora de ingresos;2022T1;702,4
Total;No perceptora de ingresos;2021T4;706,7
Total;No perceptora de ingresos;2021T3;752,1
Total;No perceptora de ingresos;2021T2;750,5
Total;No perceptora de ingresos;2021T1;757,4
Total;No perceptora de ingresos;2020T4;795,8
Total;No perceptora de ingresos;2020T3;708,7
Total;No perceptora de ingresos;2020T2;639,8
Total;No perceptora de ingresos;2020T1;661,5
Total;No perceptora de ingresos;2019T4;653,1
Total;No perceptora de ingresos;2019T3;661,9
Total;No perceptora de ingresos;2019T2;664,1
Total;No perceptora de ingresos;2019T1;730,8
Total;No perceptora de ingresos;2018T4;724,9
Total;No perceptora de ingresos;2018T3;746,5
Total;No perceptora de ingresos;2018T2;772,2
Total;No perceptora de ingresos;2018T1;828,5
Total;No perceptora de ingresos;2017T4;807,7
Total;No perceptora de ingresos;2017T3;807,1
Total;No perceptora de ingresos;2017T2;867,2
Total;No perceptora de ingresos;2017T1;942,3
